idx,smi,label
0,Nc1ncnc2n(nc(-c3ccccc3)c12)-c1ccccc1,1
1,COc1cc2ncnc(Nc3cccc(Br)c3)c2cc1OC,1
2,Cn1c2nc(N)ncc2cc(-c2c(Cl)cccc2Cl)c1=O,0
3,CNc1ncc2cc(-c3c(Cl)cccc3Cl)c(=O)n(C)c2n1,0
4,CCNc1ncc2cc(-c3c(Cl)cccc3Cl)c(=O)n(C)c2n1,0
5,CC(C)Nc1ncc2cc(-c3c(Cl)cccc3Cl)c(=O)n(C)c2n1,0
6,CCCCNc1ncc2cc(-c3c(Cl)cccc3Cl)c(=O)n(C)c2n1,0
7,Cn1c2nc(NC3CCCCC3)ncc2cc(-c2c(Cl)cccc2Cl)c1=O,0
8,Cn1c2nc(NCCO)ncc2cc(-c2c(Cl)cccc2Cl)c1=O,0
9,Cn1c2nc(NCc3ccccc3)ncc2cc(-c2c(Cl)cccc2Cl)c1=O,0
10,CN(C)c1ncc2cc(-c3c(Cl)cccc3Cl)c(=O)n(C)c2n1,0
11,CCN(CC)CCCNc1ncc2cc(-c3c(Cl)cccc3Cl)c(=O)n(C)c2n1,0
12,Cn1c2nc(NCCCN3CCOCC3)ncc2cc(-c2c(Cl)cccc2Cl)c1=O,0
13,CN1CCN(CCCNc2ncc3cc(-c4c(Cl)cccc4Cl)c(=O)n(C)c3n2)CC1,0
14,CN1CCN(CCCCNc2ncc3cc(-c4c(Cl)cccc4Cl)c(=O)n(C)c3n2)CC1,1
15,CN1CCN(CCCCCNc2ncc3cc(-c4c(Cl)cccc4Cl)c(=O)n(C)c3n2)CC1,0
16,Cn1c2nc(NCc3ccccn3)ncc2cc(-c2c(Cl)cccc2Cl)c1=O,0
17,Cn1c2nc(NCc3cccnc3)ncc2cc(-c2c(Cl)cccc2Cl)c1=O,0
18,Cn1c2nc(NCCc3ccccn3)ncc2cc(-c2c(Cl)cccc2Cl)c1=O,0
19,Cn1c2nc(NCCCCCC(O)=O)ncc2cc(-c2c(Cl)cccc2Cl)c1=O,0
20,Cn1c2nc(Nc3ccccc3)ncc2cc(-c2c(Cl)cccc2Cl)c1=O,1
21,CCn1c2nc(Nc3ccccc3)ncc2cc(-c2c(Cl)cccc2Cl)c1=O,1
22,Cn1c2nc(Nc3cccnc3)ncc2cc(-c2c(Cl)cccc2Cl)c1=O,1
23,COc1ccc(Nc2ncc3cc(-c4c(Cl)cccc4Cl)c(=O)n(C)c3n2)cn1,0
24,Cn1c2nc(Nc3ccncc3)ncc2cc(-c2c(Cl)cccc2Cl)c1=O,1
25,CCn1c2nc(Nc3ccncc3)ncc2cc(-c2c(Cl)cccc2Cl)c1=O,1
26,Cn1c2nc(Nc3ccc(Cl)cc3)ncc2cc(-c2c(Cl)cccc2Cl)c1=O,0
27,Cn1c2nc(Nc3cccc(Br)c3)ncc2cc(-c2c(Cl)cccc2Cl)c1=O,1
28,Cc1ccc(Nc2ncc3cc(-c4c(Cl)cccc4Cl)c(=O)n(C)c3n2)cc1,1
29,COc1ccccc1Nc1ncc2cc(-c3c(Cl)cccc3Cl)c(=O)n(C)c2n1,1
30,COc1cccc(Nc2ncc3cc(-c4c(Cl)cccc4Cl)c(=O)n(C)c3n2)c1,1
31,COc1ccc(Nc2ncc3cc(-c4c(Cl)cccc4Cl)c(=O)n(C)c3n2)cc1,1
32,Cn1c2nc(Nc3cccc(O)c3)ncc2cc(-c2c(Cl)cccc2Cl)c1=O,1
33,Cn1c2nc(Nc3cccc(CO)c3)ncc2cc(-c2c(Cl)cccc2Cl)c1=O,1
34,COc1ccc(Nc2ncc3cc(-c4c(Cl)cccc4Cl)c(=O)n(C)c3n2)cc1C,1
35,COc1cc(Nc2ncc3cc(-c4c(Cl)cccc4Cl)c(=O)n(C)c3n2)cc(OC)c1,1
36,CCOC(=O)c1ccc(Nc2ncc3cc(-c4c(Cl)cccc4Cl)c(=O)n(C)c3n2)cc1,0
37,CCN(CC)CCOc1ccc(Nc2ncc3cc(-c4c(Cl)cccc4Cl)c(=O)n(C)c3n2)cc1,1
38,Cn1c2nc(Nc3cccc(c3)C(O)=O)ncc2cc(-c2c(Cl)cccc2Cl)c1=O,1
39,Cn1c2nc(Nc3ccc(CC(O)=O)cc3)ncc2cc(-c2c(Cl)cccc2Cl)c1=O,1
40,Cn1c2nc(Nc3ccc(CCCC(O)=O)cc3)ncc2cc(-c2c(Cl)cccc2Cl)c1=O,1
41,C(Cc1ccccc1)Nc1ncnc2ccccc12,0
42,C(Nc1ncnc2ccccc12)c1ccccc1,1
43,Clc1ccc(CNc2ncnc3ccccc23)cc1,0
44,COc1ccc(CNc2ncnc3ccccc23)cc1,0
45,N(c1ccccc1)c1ncnc2ccccc12,1
46,CN(c1ccccc1)c1ncnc2ccccc12,0
47,COc1cccc(Nc2ncnc3ccccc23)c1,1
48,Cc1cccc(Nc2ncnc3ccccc23)c1,1
49,Clc1cccc(Nc2ncnc3ccccc23)c1,1
50,Brc1cccc(Nc2ncnc3ccccc23)c1,1
51,Ic1cccc(Nc2ncnc3ccccc23)c1,1
52,FC(F)(F)c1cccc(Nc2ncnc3ccccc23)c1,1
53,N(c1cccnc1)c1ncnc2ccccc12,0
54,Brc1cccc(Oc2ncnc3ccccc23)c1,1
55,Brc1cccc(Nc2ccnc3ccccc23)c1,0
56,Brc1cccc(Nc2nccc3ccccc23)c1,0
57,Brc1cccc(Nc2cnnc3ccccc23)c1,0
58,Brc1cccc(Nc2nncc3ccccc23)c1,0
59,Brc1cccc(Nc2cnc3ccccc3n2)c1,0
60,Brc1cccc(Nc2nnnc3ccccc23)c1,0
61,Nc1cccc2ncnc(NCc3ccccc3)c12,0
62,COc1cccc2ncnc(NCc3ccccc3)c12,0
63,Nc1ccc2ncnc(NCc3ccccc3)c2c1,0
64,COc1ccc2ncnc(NCc3ccccc3)c2c1,1
65,Nc1ccc2c(NCc3ccccc3)ncnc2c1,0
66,COc1ccc2c(NCc3ccccc3)ncnc2c1,1
67,Nc1cccc2c(NCc3ccccc3)ncnc12,0
68,COc1cccc2c(NCc3ccccc3)ncnc12,0
69,COc1cc2c(NCc3ccccc3)ncnc2cc1O,1
70,COc1cc2ncnc(NCc3ccccc3)c2cc1O,1
71,COc1cc2ncnc(NCc3ccccc3)c2cc1OC,1
72,Nc1cccc2ncnc(Nc3cccc(Br)c3)c12,1
73,COc1cccc2ncnc(Nc3cccc(Br)c3)c12,1
74,Nc1ccc2ncnc(Nc3cccc(Br)c3)c2c1,1
75,COc1ccc2ncnc(Nc3cccc(Br)c3)c2c1,1
76,Nc1ccc2c(Nc3cccc(Br)c3)ncnc2c1,1
77,COc1ccc2c(Nc3cccc(Br)c3)ncnc2c1,1
78,Nc1cccc2c(Nc3cccc(Br)c3)ncnc12,1
79,COc1cccc2c(Nc3cccc(Br)c3)ncnc12,1
80,Oc1cc2ncnc(Nc3cccc(Br)c3)c2cc1O,1
