idx,smi,label
245710,CC(=O)Nc1ccc(C)c(-c2ccc(C(=O)NCC3CC3)cc2)c1,-9.4
696237,CCCCNC(=O)[C@H](C)C[C@H](O)[C@@H](N)C[C@H](Cc1ccc(C(C)(C)C)c(OCC(N)=O)c1)C(C)C.Cl,-8.4
703563,N#Cc1cc2c(nc1NCc1ccccc1)sc1c(N3CCOCC3)nnnc12,-9.1
1832986,Brc1ccc(-c2nc(CNCc3cccc4ccccc34)co2)cc1,-9.7
2011169,COc1ccc(N(C(=O)Nc2ccc(F)cc2)C(C)c2nc3ccccc3c(=O)n2N2CCN(C)CC2)cc1OC,-9.9
737129,CC(C)COc1nc(C(F)(F)F)ccc1CNC(=O)C(C)c1ccc(NS(C)(=O)=O)c(F)c1,-8.4
202560,COC(CN1C(=O)C(O)=C(C(=O)c2ccccc2)C1c1ccccn1)OC,-7.3
658693,CN1CCN(CCc2ccc(NS(=O)(=O)c3ccc(F)c(Cl)c3)cc2)CC1,-9.3
1204309,O=C(/C=C/c1ccc(Cl)cc1)N1CCN(Cc2ccccc2)CC1,-8.1
1762570,N/C(=C\C(=O)c1ccccc1)C(=O)O,-7.1
1033561,Cc1c(CN2CCN(C)CC2)oc2c1C(=O)C(=O)c1ccccc1-2,-9.4
2254423,O=C1N(Cc2ccco2)C(=S)NC1(c1ccccc1)c1ccccc1,-8.1
2294709,Nc1scc(-c2cccc(C(F)(F)F)c2)c1C(=O)c1cccc(C(F)(F)F)c1,-9.4
94413,CN(C)C(=O)c1ccc(O)c(NC(=O)COc2ccc(C34CC5CC(CC(C5)C3)C4)cc2)c1,-10.3
72949,c1cc2c(cc1OC1CCOCC1)CCC1(CCN(C3CCC3)CC1)O2,-9.5
44003,COc1cc(N2C(=O)N(c3cnccc3C3CC3)[C@H]3C[C@H]32)ccn1,-7.6
2223671,CS(=O)(=O)OCCc1c(OS(C)(=O)=O)nc2ccc(Cl)cc2c1-c1ccccc1Cl,-8.1
215844,COc1ccc(CNc2ccc(C(=O)N3CCCCC3)cc2S(=O)(=O)Nc2cccc(OC)c2)cc1,-9.8
1841765,Nc1ncnc2c1ncn2[C@@H]1O[C@H](CO)[C@H](O)[C@H]1O,-7.4
95958,COc1ccc2cccc(CCNC(=O)CN3CCOCC3)c2c1,-8.7
2221772,CCC(CO)(CO)NC(=O)N(CCC1CCN(Cc2ccc(C)cc2)CC1)Cc1ccc(-c2ccccc2)cc1,-10.1
1731815,Cl.NC(N)=N/C(N)=N/C1CCCC1,-6.8
407925,Cc1ccnc(OC[C@H]2CN(c3ccc(C4=CCOCC4)c(F)c3)C(=O)O2)c1,-9.4
1468294,CCc1nc(N2CCCCC2)c2oc3ccccc3c2n1,-8.4
621308,Cc1cc(C)cc(NS(=O)(=O)c2cccs2)c1,-7.5
36492,CN1CCN(CCc2ccc(OCCCN3CCC(c4noc5cc(F)ccc45)CC3)cc2)CC1,-9.2
925979,CNC(=O)c1cc(Nc2ncnc(N3CC(COc4ccc(Cl)cc4)C3)n2)ccc1F,-9.4
2114315,CCOc1cc(C(C)(C)C)ccc1C1=N[C@@H](c2ccc(Cl)cc2)[C@@H](c2ccc(Cl)cc2)N1C(=O)N1CCN(C(=O)CCC#Cc2cccc3c2CN(C2CCC(=O)NC2=O)C3=O)CC1,-7.1
21809,O=C1c2ccc(O)cc2O[C@H](c2ccc(O)cc2)[C@H]1O,-7.8
258784,N=C(NOC(=O)c1cccc(Cl)c1)c1ccccn1,-8.1
466619,O=C(CCN1CCC2OCCC2C1)Nc1sc2c(c1-c1nc3cnccc3s1)CCNC2,-9.6
1008095,COc1cc(O)c2c(c1)O[C@@H](c1ccc(O)cc1)[C@H]([C@@H]1C(=O)c3ccc(O)cc3O[C@H]1c1ccc(O)cc1)C2=O,-10.6
883115,CC(Nc1nc(NC(C)C(F)(F)F)nc(-c2nc(C(F)(F)F)cs2)n1)C(F)(F)F,-8.5
1984401,COc1ccc(CCNc2ccnn3cnnc23)cc1,-7.6
2079714,Nn1c(=O)n(Cc2ccccc2)n(-c2ccccc2)c1=O,-7.9
157771,CCN(CC)CCCc1nnc(Cn2c(SCc3ccc(F)cc3)nc(=O)c3c2CCC3)n1Cc1ccc(-c2ccc(C(F)(F)F)cc2)cc1.O=C(O)C(O)C(O)C(=O)O,-10.8
1732261,COc1cc(CNc2ccc3[nH]c(=O)[nH]c3c2)cc(Br)c1OCc1ccccc1F,-9.3
92643,CCCSc1nc(-c2ccc(OC)cc2)cc(-c2ccccc2OC)c1C#N,-8.2
1259889,O=C(NCc1ccc(F)cc1)c1cnn2ccccc12,-8.6
934533,CC(C)[C@@H]1C=C[C@H](OO)[C@H]2[C@@H]3[C@](C)(O)[C@H](O)C[C@H](Br)[C@@]3(C)CC[C@@]21CBr,-7.3
766927,CCN1C/C(=C/c2ccccc2OC(F)F)C(=O)/C(=C/c2ccccc2OC(F)F)C1,-8.2
2333960,Cc1ccc(O[C@@H](CCOc2ccc(CC3SC(=O)NC3=O)cc2)c2ccccc2)cc1,-8.6
1032986,Cc1cccc(NC(=O)C(CCC(N)=O)NC(=O)OCc2ccccc2)c1,-9
376934,CC(=O)OCC1=CC[C@@H]2C(C(=O)Nc3cccc(F)c3)=CO[C@@H](O[C@@H]3O[C@H](COC(C)=O)[C@@H](OC(C)=O)[C@H](OC(C)=O)[C@H]3OC(C)=O)[C@H]12,-8.7
1728331,O=C(CCCCC[C@H](NC(=O)C1C(=O)NCC1c1ccccc1)C(=O)Nc1ccccc1)NO,-9.4
300840,Cc1cc(C2CCN(C(=O)[C@@H]3CN(C(C)(C)C)C[C@H]3c3ccc(F)cc3F)CC2)n(-c2ccc(Cl)c(C)c2)n1,-9.7
357302,C=CCOC(=O)c1ccccc1C(=O)OCC1CO1,-5.7
129947,Fc1cccc(F)c1-c1cncn1-c1ccccc1,-8
2152228,COc1cc(/C=C2\S/C(=N\c3ccccc3)N(CC(=O)O)C2=O)ccc1OCc1ccccc1,-9.3
1812120,Nc1nc(N)c2ncn(C3COC(CO)C(O)C3)c2n1,-7.8
1854763,O=C1C(Cl)=C(Nc2ccccc2C(F)(F)F)C(=O)c2ccccc21,-8.5
1068297,CCCCCCCCNC1C=C(CO)C(O)C(O)C1O,-7.1
1083185,O=C(O)c1cc(/C=N/OCCCCCCCCCCO/N=C/c2ccc(OCc3ccccc3)cc2)ccc1O,-9.3
1541403,Fc1ccc(-n2cc(-c3ccnc4ccccc34)cn2)cc1,-9.4
1080071,C=CCOc1ccc(C(=O)/C=C/c2ccc(OC)c(OC)c2)cc1,-8.3
851840,CN(Cc1cccc(-c2cnc(N3CCC(c4cccnc4)CC3)nc2)c1)C(=O)CN,-10.3
2296750,Cc1cccc(NC(=O)C2CCCN(c3cnccn3)C2)c1,-8.8
692143,O=C(C1=C(O)C(=O)N(CCCn2ccnc2)C1c1cccc(O)c1)c1ccccc1,-8.8
1831498,CCc1cc(-c2noc(-c3cc(OC)nc(-c4ccccc4)c3)n2)cc(C)c1OC[C@@H](O)CNC(=O)CO,-8.9
2022511,COc1cccc(CN2C[C@@H](Cc3ccccc3)NC(=O)c3sc4ccc(OC)cc4c32)c1,-9.6
1280056,COc1cccc(C(=O)N/N=C/c2cc(Br)ccc2O)c1,-8.6
1154085,C=CCN1C(=O)COc2ccc(-c3nc(NC(=O)c4ccccc4OC)sc3C)cc21,-9
2094648,CC1CCCN(C(=O)CCN2CCCc3ccccc32)C1,-8.3
760491,Cc1cc(O)cc2oc3cc(O)cc(O)c3c(=O)c12,-8.6
2097395,Nc1nonc1-n1nnc(C(=O)NCc2ccncc2)c1CN1CCCCC1,-8.1
2200188,CC(C)NC(=O)Nc1ccc(OCC(O)CNC(C)(C)C)cc1,-7.8
925858,CNc1cc(Oc2c(C)cc(NC(=O)Nc3cccc(C(F)(F)F)c3)cc2Cl)ncn1,-10.1
872401,C[C@H](NC(=O)C1(C#N)CC1)c1ccc(CN2CCc3cc(OCC4CC4(F)F)ccc3C2)cc1,-10.3
1902415,CN[C@@H](C)C(=O)N[C@H](C(=O)N1CSC[C@H]1C(=O)NCC(c1ccccc1)c1ccccc1)C1CCCCC1,-8.9
102625,CN1CCCC2c3ccccc3CCC21,-7.6
265609,N#Cc1cc(-c2ccnc(Nc3ccc(NC(=O)CC4CC[C@H](O)C4)nc3)n2)cnc1N1CC[C@H](F)C1,-10.4
1668872,c1cc(C2=NCCN2)ccc1CC1CCCN(c2ccc(C3=NCCN3)cc2)C1,-9.3
2083162,CC[C@@]1(C)CCCN(C(=O)CNS(=O)(=O)CC)CC1,-6.9
114010,COCCN1C(=O)c2ccc(C(=O)NCc3ccncc3)cc2C1=O,-8.7
1740943,CC(C)[C@@H](Nc1ccccc1C(=O)NCCCCN1CCN(c2nsc3ccccc23)CC1)C(=O)O,-8.3
723479,NC(=O)c1coc(CNC(=O)c2cccc(N3CCCC3)c2)n1,-9.1
70289,O=C1NC(=O)C(=Cc2ccc(OC3CCN(c4ccc(C(F)(F)F)cn4)CC3)cc2)C(=O)N1,-10.3
678355,COCC(C)N/C(=N\O)c1ccc(Oc2cc(C)cc(C)c2)nc1,-8.4
339055,NC(=O)CCNC(=O)c1cccc(S)c1,-6.9
1354815,CN(C)CCNC(=O)C1Cc2nc(-c3ccsc3)sc2N1CC1CC1,-7.7
1170767,Cc1ccc(-c2nccs2)c(C(=O)N2CC(COc3ccc(F)cn3)CCCC2C)c1,-8.2
