idx,smi,label
245710,CC(=O)Nc1ccc(C)c(-c2ccc(C(=O)NCC3CC3)cc2)c1,-10.9
696237,CCCCNC(=O)[C@H](C)C[C@H](O)[C@@H](N)C[C@H](Cc1ccc(C(C)(C)C)c(OCC(N)=O)c1)C(C)C.Cl,-8.3
703563,N#Cc1cc2c(nc1NCc1ccccc1)sc1c(N3CCOCC3)nnnc12,-10.2
1832986,Brc1ccc(-c2nc(CNCc3cccc4ccccc34)co2)cc1,-11.2
2011169,COc1ccc(N(C(=O)Nc2ccc(F)cc2)C(C)c2nc3ccccc3c(=O)n2N2CCN(C)CC2)cc1OC,-4.6
737129,CC(C)COc1nc(C(F)(F)F)ccc1CNC(=O)C(C)c1ccc(NS(C)(=O)=O)c(F)c1,-9.7
202560,COC(CN1C(=O)C(O)=C(C(=O)c2ccccc2)C1c1ccccn1)OC,-8.2
658693,CN1CCN(CCc2ccc(NS(=O)(=O)c3ccc(F)c(Cl)c3)cc2)CC1,-9.8
1204309,O=C(/C=C/c1ccc(Cl)cc1)N1CCN(Cc2ccccc2)CC1,-9.4
1762570,N/C(=C\C(=O)c1ccccc1)C(=O)O,-7.8
1033561,Cc1c(CN2CCN(C)CC2)oc2c1C(=O)C(=O)c1ccccc1-2,-10.7
2254423,O=C1N(Cc2ccco2)C(=S)NC1(c1ccccc1)c1ccccc1,-7.2
2294709,Nc1scc(-c2cccc(C(F)(F)F)c2)c1C(=O)c1cccc(C(F)(F)F)c1,-10.3
94413,CN(C)C(=O)c1ccc(O)c(NC(=O)COc2ccc(C34CC5CC(CC(C5)C3)C4)cc2)c1,-11.3
72949,c1cc2c(cc1OC1CCOCC1)CCC1(CCN(C3CCC3)CC1)O2,-10.8
44003,COc1cc(N2C(=O)N(c3cnccc3C3CC3)[C@H]3C[C@H]32)ccn1,-8.2
2223671,CS(=O)(=O)OCCc1c(OS(C)(=O)=O)nc2ccc(Cl)cc2c1-c1ccccc1Cl,-7.1
215844,COc1ccc(CNc2ccc(C(=O)N3CCCCC3)cc2S(=O)(=O)Nc2cccc(OC)c2)cc1,-9.9
1841765,Nc1ncnc2c1ncn2[C@@H]1O[C@H](CO)[C@H](O)[C@H]1O,-7.7
95958,COc1ccc2cccc(CCNC(=O)CN3CCOCC3)c2c1,-9.7
2221772,CCC(CO)(CO)NC(=O)N(CCC1CCN(Cc2ccc(C)cc2)CC1)Cc1ccc(-c2ccccc2)cc1,-8.1
1731815,Cl.NC(N)=N/C(N)=N/C1CCCC1,-6.5
407925,Cc1ccnc(OC[C@H]2CN(c3ccc(C4=CCOCC4)c(F)c3)C(=O)O2)c1,-10.3
1468294,CCc1nc(N2CCCCC2)c2oc3ccccc3c2n1,-9.3
621308,Cc1cc(C)cc(NS(=O)(=O)c2cccs2)c1,-8.8
36492,CN1CCN(CCc2ccc(OCCCN3CCC(c4noc5cc(F)ccc45)CC3)cc2)CC1,-9
925979,CNC(=O)c1cc(Nc2ncnc(N3CC(COc4ccc(Cl)cc4)C3)n2)ccc1F,-10.7
2114315,CCOc1cc(C(C)(C)C)ccc1C1=N[C@@H](c2ccc(Cl)cc2)[C@@H](c2ccc(Cl)cc2)N1C(=O)N1CCN(C(=O)CCC#Cc2cccc3c2CN(C2CCC(=O)NC2=O)C3=O)CC1,24.3
21809,O=C1c2ccc(O)cc2O[C@H](c2ccc(O)cc2)[C@H]1O,-8.3
258784,N=C(NOC(=O)c1cccc(Cl)c1)c1ccccn1,-9.4
466619,O=C(CCN1CCC2OCCC2C1)Nc1sc2c(c1-c1nc3cnccc3s1)CCNC2,-10.2
1008095,COc1cc(O)c2c(c1)O[C@@H](c1ccc(O)cc1)[C@H]([C@@H]1C(=O)c3ccc(O)cc3O[C@H]1c1ccc(O)cc1)C2=O,-7.4
883115,CC(Nc1nc(NC(C)C(F)(F)F)nc(-c2nc(C(F)(F)F)cs2)n1)C(F)(F)F,-9.5
1984401,COc1ccc(CCNc2ccnn3cnnc23)cc1,-8.8
2079714,Nn1c(=O)n(Cc2ccccc2)n(-c2ccccc2)c1=O,-9
157771,CCN(CC)CCCc1nnc(Cn2c(SCc3ccc(F)cc3)nc(=O)c3c2CCC3)n1Cc1ccc(-c2ccc(C(F)(F)F)cc2)cc1.O=C(O)C(O)C(O)C(=O)O,-0.3
1732261,COc1cc(CNc2ccc3[nH]c(=O)[nH]c3c2)cc(Br)c1OCc1ccccc1F,-10.8
92643,CCCSc1nc(-c2ccc(OC)cc2)cc(-c2ccccc2OC)c1C#N,-8.6
1259889,O=C(NCc1ccc(F)cc1)c1cnn2ccccc12,-9.8
934533,CC(C)[C@@H]1C=C[C@H](OO)[C@H]2[C@@H]3[C@](C)(O)[C@H](O)C[C@H](Br)[C@@]3(C)CC[C@@]21CBr,-2.8
766927,CCN1C/C(=C/c2ccccc2OC(F)F)C(=O)/C(=C/c2ccccc2OC(F)F)C1,-10.2
2333960,Cc1ccc(O[C@@H](CCOc2ccc(CC3SC(=O)NC3=O)cc2)c2ccccc2)cc1,-9.7
1032986,Cc1cccc(NC(=O)C(CCC(N)=O)NC(=O)OCc2ccccc2)c1,-10
376934,CC(=O)OCC1=CC[C@@H]2C(C(=O)Nc3cccc(F)c3)=CO[C@@H](O[C@@H]3O[C@H](COC(C)=O)[C@@H](OC(C)=O)[C@H](OC(C)=O)[C@H]3OC(C)=O)[C@H]12,-4
1728331,O=C(CCCCC[C@H](NC(=O)C1C(=O)NCC1c1ccccc1)C(=O)Nc1ccccc1)NO,-8.4
300840,Cc1cc(C2CCN(C(=O)[C@@H]3CN(C(C)(C)C)C[C@H]3c3ccc(F)cc3F)CC2)n(-c2ccc(Cl)c(C)c2)n1,-5.9
357302,C=CCOC(=O)c1ccccc1C(=O)OCC1CO1,-7
129947,Fc1cccc(F)c1-c1cncn1-c1ccccc1,-8.6
2152228,COc1cc(/C=C2\S/C(=N\c3ccccc3)N(CC(=O)O)C2=O)ccc1OCc1ccccc1,-10.5
1812120,Nc1nc(N)c2ncn(C3COC(CO)C(O)C3)c2n1,-7.9
1854763,O=C1C(Cl)=C(Nc2ccccc2C(F)(F)F)C(=O)c2ccccc21,-8.7
1068297,CCCCCCCCNC1C=C(CO)C(O)C(O)C1O,-7.7
1083185,O=C(O)c1cc(/C=N/OCCCCCCCCCCO/N=C/c2ccc(OCc3ccccc3)cc2)ccc1O,-8.8
1541403,Fc1ccc(-n2cc(-c3ccnc4ccccc34)cn2)cc1,-10.6
1080071,C=CCOc1ccc(C(=O)/C=C/c2ccc(OC)c(OC)c2)cc1,-9.3
851840,CN(Cc1cccc(-c2cnc(N3CCC(c4cccnc4)CC3)nc2)c1)C(=O)CN,-9.9
2296750,Cc1cccc(NC(=O)C2CCCN(c3cnccn3)C2)c1,-9.1
692143,O=C(C1=C(O)C(=O)N(CCCn2ccnc2)C1c1cccc(O)c1)c1ccccc1,-8.6
1831498,CCc1cc(-c2noc(-c3cc(OC)nc(-c4ccccc4)c3)n2)cc(C)c1OC[C@@H](O)CNC(=O)CO,-8.5
2022511,COc1cccc(CN2C[C@@H](Cc3ccccc3)NC(=O)c3sc4ccc(OC)cc4c32)c1,-8.4
1280056,COc1cccc(C(=O)N/N=C/c2cc(Br)ccc2O)c1,-10
1154085,C=CCN1C(=O)COc2ccc(-c3nc(NC(=O)c4ccccc4OC)sc3C)cc21,-10.1
2094648,CC1CCCN(C(=O)CCN2CCCc3ccccc32)C1,-9.5
760491,Cc1cc(O)cc2oc3cc(O)cc(O)c3c(=O)c12,-10
2097395,Nc1nonc1-n1nnc(C(=O)NCc2ccncc2)c1CN1CCCCC1,-9.2
2200188,CC(C)NC(=O)Nc1ccc(OCC(O)CNC(C)(C)C)cc1,-8.9
925858,CNc1cc(Oc2c(C)cc(NC(=O)Nc3cccc(C(F)(F)F)c3)cc2Cl)ncn1,-11.7
872401,C[C@H](NC(=O)C1(C#N)CC1)c1ccc(CN2CCc3cc(OCC4CC4(F)F)ccc3C2)cc1,-10.6
1902415,CN[C@@H](C)C(=O)N[C@H](C(=O)N1CSC[C@H]1C(=O)NCC(c1ccccc1)c1ccccc1)C1CCCCC1,-6.5
102625,CN1CCCC2c3ccccc3CCC21,-8.5
265609,N#Cc1cc(-c2ccnc(Nc3ccc(NC(=O)CC4CC[C@H](O)C4)nc3)n2)cnc1N1CC[C@H](F)C1,-8.6
1668872,c1cc(C2=NCCN2)ccc1CC1CCCN(c2ccc(C3=NCCN3)cc2)C1,-9.9
2083162,CC[C@@]1(C)CCCN(C(=O)CNS(=O)(=O)CC)CC1,-7.1
114010,COCCN1C(=O)c2ccc(C(=O)NCc3ccncc3)cc2C1=O,-9.6
1740943,CC(C)[C@@H](Nc1ccccc1C(=O)NCCCCN1CCN(c2nsc3ccccc23)CC1)C(=O)O,-10
723479,NC(=O)c1coc(CNC(=O)c2cccc(N3CCCC3)c2)n1,-9.8
70289,O=C1NC(=O)C(=Cc2ccc(OC3CCN(c4ccc(C(F)(F)F)cn4)CC3)cc2)C(=O)N1,-10.2
678355,COCC(C)N/C(=N\O)c1ccc(Oc2cc(C)cc(C)c2)nc1,-8.8
339055,NC(=O)CCNC(=O)c1cccc(S)c1,-7.8
1354815,CN(C)CCNC(=O)C1Cc2nc(-c3ccsc3)sc2N1CC1CC1,-8
1170767,Cc1ccc(-c2nccs2)c(C(=O)N2CC(COc3ccc(F)cn3)CCCC2C)c1,-7.3
1486501,CC(C)(C)ONC(=O)Nc1csc(Cc2c(Cl)cccc2Cl)n1,-8.7
566793,O=C(NCCCCCCNC(=O)c1ccccc1)c1ccccc1,-9.6
461624,COc1ccc(N2CCN(C(=O)N[C@H]3CCc4c(C)ccc(N5CCN(C)CC5)c4C3)CC2)cc1,-7.3
335386,Cn1c(-c2ccc(O)cc2Cl)cc(-c2ccc(O)cc2)c1-c1ccc(O)cc1,-11.9
223005,N#CCCc1cccc(C(=O)OCc2csc(N)n2)c1,-9
1759222,O=C(CC(c1ccccc1)c1ccccc1)N1CC(n2ccnn2)C1,-8.7
1427397,CCN1CCN(S(=O)(=O)c2cnc3ccc(-c4ccc(OC)nc4)nn23)CC1,-9.3
1588978,CCN1CC[C@@](O)(c2ccc(Cl)c(Cl)c2)[C@H](C(=O)c2ccc(Cl)c(Cl)c2)C1.Cl,-8.9
1565150,O=C(COc1ccccc1)NCC(=O)N1CC[C@H](C2CCOCC2)C1,-9.5
173843,Cc1cc(C)nc(OCC2CC3CCC2N3C(=O)c2ccccc2-c2nc(C)no2)n1,-10.6
881678,COc1cc2ncnc(N3CCN(C(=O)Nc4ccc(C#N)cc4)CC3)c2cc1OCc1ccccc1,-8.6
1117991,C=C(C)CNC(=O)[C@H]1N(C(=O)[C@@H](O)[C@H](Cc2ccccc2)NC(=O)COc2c(C)cc(N)cc2C)CSC1(C)C,-7.2
638337,COc1ccccc1C(=O)COC(=O)CN1C(=O)NC2(CCCC2)C1=O,-9.4
1766682,Fc1ccccc1Nc1ncnc2ccccc12,-9
1341981,CCCCn1c(NCc2cccs2)nc2ccccc21,-7.8
108831,Cc1ncccc1-c1nc(C(=O)Nc2cnn(C)c2N2CC[C@@H](N)[C@H](F)CC2)c(N)s1,-9.2
2284785,CCCN(CC(=O)Nc1ccccc1C)C(=O)c1cccc(S(=O)(=O)N2CCN(c3ccccc3)CC2)c1,-9.2
917360,Cc1c(CN2CCN(C(=O)c3cc4cccc(C(N)=O)c4o3)CC2)sc2c(N3CCOCC3)nc(-c3ccc(N)cc3)nc12,-10.4
4526,Cc1nc(Nc2ccc(C(=O)N(C)C)cc2)c2c(-c3ccccc3)csc2n1,-9.2
2390718,CCOCCC(=O)N(C)Cc1noc(C(C)C)n1,-7.4
1067651,C=C(CO)[C@@]1(O)[C@@H](O)[C@@]2(C)[C@H](CCC[C@@H]2C)C[C@@H]1O,-6.7
1847097,CCn1cnc2c1N=CN1C2=N[C@](C)(C(=O)O)[C@@H](O)[C@@]1(C)O,-8.1
1347768,CCOP(=O)(OCC)Oc1ccc(Br)cc1C(=O)Nc1cccc(Cl)c1,-7.9
1844487,CCN(CC)c1ccc2cc(C(=O)N3CCN(C(=O)/C=C/c4cc(OC)c(OC)c(OC)c4)CC3)c(=O)oc2c1,-3.6
1874158,Cn1cc(C2=C(c3cccc(C[C@H](O)CO)c3)C(=O)NC2=O)c2ccccc21,-10.3
932769,C[C@@H]1CN(c2nccs2)CC[C@@]1(O)C1CCOCC1,-7.3
2221503,CCCN(CCC)c1ccc(/C=C/c2cc(O)cc(O)c2)cc1,-8.7
752755,N=c1c(C(=O)NCCN2CCOCC2)cc2c(=O)n3ccccc3nc2n1CCCN1CCOCC1,-10.1
726290,Cc1cccc(C(=O)NCN2CCN(c3ccccc3C#N)CC2)c1,-10.6
2243688,COCc1cccc(-c2csc(Nc3ccccc3F)n2)c1,-10
1337477,CCCS(=O)(=O)N1CCCC(C(=O)N2CCN(c3ccccc3)CC2)C1,-8.8
625726,CC(C)Oc1ccc(C(CC(=O)O)NC(=O)C(Sc2ccccc2)c2ccccc2)cc1,-8
1441264,O=C(Cc1cccnc1)N1CC[C@@](O)(c2ccccc2)[C@H]2CCCC[C@@H]21,-9.3
627066,CC(=O)C1=C(c2ccc(Br)cc2)N(C(C)=O)n2cnnc2S1,-6.9
1116099,NCCCc1ccc(Cl)c(Cl)c1,-7.1
1126243,CNC(=O)c1cnc(NC(=O)C2CC2)cc1Nc1cc(F)cc(-c2ncccn2)c1OC,-9.6
2263561,CCN(CC)C(=O)C1=C(C)N(Cc2ccc(F)cc2)C(=O)C(CC(=O)NCC2CCCCC2)C1,-9.1
978107,Cn1nc(C(F)(F)F)c(-c2ccc(Br)cc2)c1NC(=O)c1cccnc1,-7.7
864651,Cc1ccc(C(CCN2CCN(c3ccccc3)CC2)OC(N)=O)cc1,-10.4
86658,CC12CC3CC(C(=O)N[C@H]4CC[C@H](CN)CC4)(C1)CC(c1ccccc1)(C3)C2,-7.3
2207549,CC(C)C[C@H](NC(=O)CCN(C)C)c1cc(Cl)ccc1N1CCN(C(=O)[C@@H]2CCO[C@@H]2c2ccc(Cl)cc2)CC1,-5.5
1225184,N#Cc1c(Cl)nc(SCC(=O)Nn2c(COc3ccc(Cl)cc3Cl)nc3ccccc3c2=O)nc1-c1ccc(Cl)cc1,-9.2
1997285,CNC(=O)/C(C#N)=C/c1c(N2CCN(c3ccc(OC)cc3)CC2)nc2c(C)cccn2c1=O,-6.9
873010,CC(C)(C)C(=O)Nc1nnc(SCC(=O)Nc2ccc(Cl)c(Cl)c2)s1,-9
540570,CC(=O)c1cnc2ccc(-c3cnc(C#N)nc3)cc2c1Nc1ccc(CN(C)C)cc1,-8.3
566584,CCOc1ccc(OCC2Cc3ccccc3CN2C(=O)c2cccc3ccccc23)cc1,-9.3
847700,Cc1ccc(-n2c(SCC(=O)N3c4ccccc4Sc4ccccc43)nnc2-c2ccncc2)cc1,-9.2
1118712,O=C(/C=C\Nc1ccc(S(=O)(=O)Nc2cnc3ccccc3n2)cc1)c1ccc2c(c1)Nc1ccccc1S2,-10.6
152287,CC(C)(C)SCCNC(=O)CN(c1ccccc1)S(=O)(=O)c1ccccc1,-7.9
476878,COc1ccc(-c2cc(C(N)=O)nc3cc(CCc4cnc(C)nc4)ccc23)c(F)c1,-11.8
813320,O=C1/C(=C/c2ccccc2O)Oc2ccccc21,-9.8
1385782,O=C(CN1CCN(CCCCCOc2ccc3ccc(=O)oc3c2)CC1)Nc1c2c(nc3ccccc13)CCCC2,-10
573277,O=C(O)c1cc(-c2ccccc2)nc2cc3c(cc12)OCCO3,-10.9
1911922,CNC(=O)C1CCCCNC(=O)CCC(NC(=O)OCc2ccccc2)C(=O)N1,-9.1
1530613,CCOc1ccccc1NC(=O)C(C)Oc1cccc(Br)c1,-9.3
2127620,COC(=O)N/N=C/c1cn(CCOc2ccccc2)c2ccccc12,-9.7
992482,Nc1ncc(Cn2cc(-c3cccc(C(F)(F)F)c3)c3ccccc32)c(N)n1,-10.8
1470764,O=C(C(=O)N1CCCC1)c1cn(CCCn2cc(C(=O)C(=O)N3CCCC3)c3cc(Br)ccc32)c2ccc(Br)cc12,-9.6
1203567,CC(C)COc1ccc(C(=O)NCC2(N3CCN(C)CC3)CCCCC2)cc1,-8.7
930925,CCc1c(C)nc2ncnn2c1N1CCN(C)CC1,-7.4
1215033,Cc1cc(=O)oc2cc(NC(=O)CNCCS(=O)(=O)O)ccc12,-9.8
