scaf_smi,frag_size
*=*(***(=*)=*)**(=*)=*,11
**********(*)=**#*,14
*:*:*:*:***1****2****21,15
*****(**)**(*)=*,11
****(=*)*(**=*)*(=*)***,14
*****(*)*(=*)**,10
*1**2:*:*3:*:*:*:*:*:3:*:*:2*1,13
***(**(*)=*)**(*)=*,11
*=*1****2**(=*)*(=*)*2*1,13
*=*1**2**3****(=*)*3**2=*1,15
*=****#*,6
*=*1*2****2***2:*:*:*:*:21,14
*=*1****2*3*****3*21,13
*=*1**2***1*(=*)*2,10
**(=*)*******=*(*)*,13
*1***23**(**2*1)*3,10
****(***(*)*)***(*)*,14
*=*1**********=****1,16
*=*1**2**=***3**3***1=*2,15
*=*1**2:*:*3:*:*:*:*:*:3:*:*:2**1=*,16
*1*=**2*=**3:*:*:*:*:*:3*=*12,14
**(*)**(=*)*(*)*,9
*1**2:*:*:*:*:*:2*2:*:*:*:*:*:21,14
*1**=*2**3:*:*:*:*:*:3**2*1,14
*=*********(=*)=*,12
**(*(*)(*)*)*(*)(*)*(=*)=*,12
*=*(**:*:*:*)*1****=*1,13
*=*1:*:*:*:*2:*:*:*3:*(:*:1:2)***3,14
*1**2***3****3*2*1,12
*=*1**(=*2*(=*)**3:*:*:*:*:*:32)*=*1,16
*******(=*)=*,9
*1***23***(**4:*:*:*:*:*:42)*3*1,16
*1**2(**=**2)*2:*:*:*:*:*:21,13
*=*1:*:*:*:*:*2:*:*:*:*:1:2,11
**(*)(*)*=*,6
*=*1*=**(=*)*2=*1**1*****12,15
*=*1***2***=****3**3**21,16
*=*1**=*2**(=*)*3:*:*:*:*1:*:32,14
**(=*)***:*:*:*:*,10
***=**(=*)********(*)=*,16
*1***2****2*1,9
*=*1:*:*:*:*2:*:*3:*(:*:*:1:2)**=**3,15
*=*1(=*)***2****3:*:*:*:*(:*:32)*1,16
*=*1*=**=**12**2,9
*=*1*2*****2*(=*)*1=*,12
*1***2(**1)***1**=**1*2,14
*=*1*2**(*=*2)*2=*****12,13
**(=*)****(*)(=*)=*,10
*=*1***2=*1**1:*:*:*:*:1*2,13
*=*1**(=*)*(=*2******2)*1,14
**(=*)=***#*,7
***(**(=*)**)*(=*)**,12
*=*1*=**2***3(****3)*21,13
*:*1:*****1,7
**********(*)*,12
*=*1**2(****2)***2:*:*:*:*:*:21,16
*=*1***(=*2*(=*)**3:*:*:*:*:*:32)*1,16
*=*1**2(**3(**(=*)*=*3)*=*2)*=*1,15
*=*1**(=*)*2(*1)*(=*)**1:*:*:*:*:*:12,16
**(=*)****(*)(*)=*,10
*1****2:*:*3:*:*:*:*:3:*:*:2**1,15
*=*1**2**3****3*(=*)**2*1,15
*1**2=***3*=***1*32,11
*=*1**(=*)*2*3**=**3**21,13
*1**2***3**(**=*3)*2*1,13
*1**2**1*1**3:*:*:*:*:3**21,14
*=*1***2(**3:*:*:*:*:*:3*2=*)*=*1,16
*****(=*)**(*)*(=*)***,14
**(=*)**(*)=***=*,10
*=*1(=*)***2:*:*:*:*:2**1,12
*=*1***(=*)*2(****2)*1,12
*=*1**2***3**(=*)*3***21,14
*1*2*(=**3:*:*:*:*:*:32)*2:*:*:*:*:*:21,16
*=*1:*:*:*:1=*,6
*1**2:*:*3:*(:*:*:2*=*1)***=*3,14
****1***=**1,9
**(=*)*=**=**(*)=*,10
*=***1(**:*:*:*:*)*****1,15
*=*1*******(=*)*=***1,14
*1**2:*:*3:*(:*:*:2*=*1)*=***3,14
*1***2*(*1)**1:*:*:*:*:*:12,13
*=*1***2:*(:*:*3:*:*:*:*(=*):*:2:3)*1,15
*=*1*****2*****1=*2,13
***=*1**1,6
*=*1*=**2**2*****2****21,16
*1*=**2=****2=*1,9
**(=*)****=*,8
*=*1*=**2***3=*(****3)*21,14
*=*1****2**3***(*3)*21,13
*=*(*:*)*:*:*:*,8
*=**=**=*1**2:*:*:*:*:*:2*1,14
******(=*)**(=*)=*,11
*=*1**2****1**2,10
**(*)****(=*)**(*)(*)*,13
*1**2***3=*(*=***3)*2*1,13
**=***=***=*,9
*=*1**2****2*12**2,11
*****(=*)(=*)**(=*)*(*)**(*)*,16
***(=*)*(*)*(*)(=*)=*,10
*=*1***2(**2)*2*****21,13
****(=*)**(*)(*)*,10
*=*1:*:*:*:*2:*:*3:*(:*:1:2)****3,14
*=*1***2**1***1***12,13
*=*1******(=*)***1,12
**(*)**#****=*,10
*********(=*)=*,11
*=*1**2:*:*:*:*:*:2*1,10
****(*)**(=*)**#*,11
*=*1**2**3=***=**3=*2*=*1,14
*=*1**2(****2)*1,9
*********(*)*(*)=*,13
*=*1:*:*:*:*2:*3:*(:*:*:*:1:2)****3,15
*=*1:*:*:*2:*3:*:*:*:*:*:3:*:*:*:12,14
*=*1**2(***2)**=*1,10
*=*1****2=*1*(=*)*=*2,11
*=*1**=*2*=**=**2*1,11
**(*)(*)*(*)(=*)=*,8
*=*1**23****2*=**1*3,12
*=*1*=*2**34*****3*1*2**4,15
*=*1**2**(=*)(=*)**2*1,11
***(*)*****(=*)=*,11
****(*)=***,8
**=*(**(*)=*)*(*)=*,10
*1**=*2*(=*1)***1:*:*:*:*:*:12,14
*=*1**(=*)*1,6
*=*1**2*(****34**3***24)*1=*,16
*=*1****2****21,10
*=*1*=**2***3=****3**2*1=*,16
****(***)*(*)=*,10
*=*1**2(*****2)**2:*:*:*:*:*:21,16
*1**2*3**(*2*1)*1(***=**1)*3,15
*1***2(**1)***1****1**2,15
****(*)*(*)(*)*,9
*=*1**2(**=**3****32)*=*1,14
*=*1****2=*1***=*2,11
**********(*)*=*,13
*1***2*(*1)***1**3**3**12,15
*=*1***2***3:*:*:*:*:*:3**21,15
*1*=**2*1*1**2*2*1*1:*:*:*:*:*:12,16
**(*)**(**(=*)*=*(*)*=*)*(*)=*,16
*1*=**2*=**3:*:*:*:*:3*12,12
*=*1:*:*2:*(:*:1=*)****=2,11
***1(*:*:*:*)*****1,12
**********(=*)**,13
*1**2*(=*1)*=**1:*:*:*:*:*:12,13
*=***(=*)**#*,8
*=*1*=**=*2*(=*)*3:*:*:*:*:*:3*=*12,16
*=*1*=**2**3***(*3)*21,12
*=*1:*:*:*:*2:*:1***1:*:*:*:*:*:12,15
*=*1*****(=*)*1,9
***(=*)****=*(*)*,11
**(*)*(***(*)=*)*=*,11
*=*1**=*2*(***3*****32)*1,15
*=*1**(=*)*2(**3***2*3)*1,13
*=*1**23**(****2=*1)*3,12
******(=*)***(*)=*,12
**(*)=*****=*,9
*1**2:*:*3:*(:*:*:2*1)***3,12
**(*)(*)*(*)(*)**=*,10
*1**2***3*(*1)*23,9
*=*1*=**12***1(**2)*=**1=*,14
*.********,9
*=*1***2*3*1***3*2=*,12
*=*1**2**(=*)*2*=*1,10
*1***23***(***2*1)**3,13
*:*:*:*:*:*:*1:*:*:*:*:1,11
*=*1**2(***(=*)(=*)*2)*(=*)(=*)*1,14
*1**2***3**1***23,11
*=*1***2*=**2*1,9
*=*1**2**1*(=*)*=*2,10
*=*1(=*)****2=*1**=**2,12
*=*1**2***3**(=*)*3*2*1,13
*.******,7
******(=*)*(*)**(*)=*,13
*=*1**2**(*1)*(=*)*(=*)*2=*,13
*=*1*=***2:*:*3:*:*:*:*:*:3:*:21,14
*=*1***2*3*****3*=**2=*1,15
*=*1**(=*)*2*1****21****1,15
**(*)**(**=*)*(*)=*,11
*=*1:*:*(=*):*2:*:*3:*(=*):*:*(=*):*:3:*:*:1:2,16
*=*1**2=******2=*1,11
*=*1(=*)*=**=*1,7
*=*1**2**3*=***(=*)*3**2=*1,15
*=*1**2(******2)**2:*:*:*:*:21,16
**(=*)********(=*)=*,13
*=*1**(=*)*2=*1*1*****1**2=*,16
*=*1***2:*:*3:*:*:*:*:*:3:*:*:2**1,16
*1*=**=**2:*:*:*:*:*:21,11
*1**2:*:*:*3:*(:*:2*1)**1***=*13,15
****(*=*)*(*)(*)*,10
*=*1:*:*:*2:*(:*:1)*******2,14
*=*:*:*,4
*=*1**(=*)(=*)*2=*1***2,11
**(*)****(*)(*)*,10
*=*:*:*:*1:*:*:*:*:*:1,10
**(=*)*****=*(*)*,11
*1***2:*:*3:*(:*:*:2*1)**1**3*1,15
*=*1(=*)*2*****2=**2:*:*:*:*:*:21,16
*=*1**2***1**2=*,10
*1**23**=**4**(**2(*1)*4)*=**3,16
*=*1:*:*:*2:*:1:*:*1:*(=*):*:*:*:1:2,13
***(=*)****(*)**=*,12
*:*:*:*:*:*.*=*:*,9
**(*)(*)*(=*)*(=*)*#*,10
*1*2**3*=***4*=**1*2*34,13
*1***2*(*1)***1**3****12*3,16
*=*1**2=****2*2:*:*:*:*:*:21,14
*=*1*=**(=*)*2=*1***1****12,15
**(*)**=**=*,8
*=*1*=*2*****3***1*(=*)*32,15
***1:*:*(=*):*2:*:*:*:*:*:2:*:1,13
*=*1:*:*:*2:*:*3:*:*:*(=*):*:3:*:*:1:2,14
***(*)*(=*)*(*)*,9
*=*1**2*3*(****3=*)***2=*1,15
**1:*:*:*:*:*:1**1:*:*:*:*:*:1,14
**(*)**(=*)*(*)(*)*(=*)=*,12
*=*1***2:*:*:*3:*(:*:2*1)**(=*)*3,15
*=*1**2=*(**=**2)*1,10
*1*=**2**1*1:*:*:*:*:*:12,12
****(=*)****(*)(=*)=*,12
*=*1(=*)***2*(=*1)**1:*:*:*:*:*:12,15
*=*1**=*2***=*12,9
*=*1****2(***=**2=*)*1,13
*=*******(=*)=*,10
**1*****1**=*,10
*1***2:*:*:*:*:*:2*1,10
*=*1****2:*1:*:*1:*:*:*:*:*:2:1,14
*.*=*(:*):*1:*:*:*2:*(=*):*:*(=*):*:2:*:1,15
******(***)***,12
*1**2**2*2**12,8
*=*1*=**2**3:*:*:*:*:*:3*21,13
*=*1**2***3=*(*2*1)*(=*)***3,15
**(=*)**(**=*)*(=*)***=*,14
***(**=*)*(=*)*(*)=*,11
*=*1:*:*:*:*2:*:1:*:*:*1:*:*:*:*:1:2,14
*=*1(=*)*=***2:*:*:*:*:21,11
***(*)*(*)(*)*,8
*=*1***2**1**1**=***21,14
*=*1:*:*2:*:*:*:*3:*:2:*:1*=**3,13
*******1:*:*:*:*:*:1,12
**(=*)*(*)(*)*#*,8
*=**:*:*:*,6
*=*1****2(*1)**1:*:*:*:*:*:1*2,15
*=*1**2(***3:*:*:*:*:*:3*2=*)*=*1,16
**(****=*(*)*)*(*)=*,12
**(*(*=*)*(*)(*)*)*(*)=*,12
*1**2***=*2*1,8
*=*1***2***3****321,12
*=*1:*:*(=*):*2:*:1*1**3:*:*:*:*:*:3*12,16
*1**2****(*1)*21**=**1,13
*=*1*2(***13**=**3)**=**2,14
*=*1***2****1*2,10
**=*1*2***(**2)*1=*,11
*=*1**2***=**2=*1,10
*=*1**=*2***(=*)*2=*1,11
******(=*)*(*)**=*,12
****(*)=***=*,9
*.****(*)=*,7
****(***)****(=*)=*,13
*=*1*=**=*2****3**312,12
*=*1:*:*:*(=*):*2:*:*:*:*:*:1:2,12
*=*1****12**1****1*=*2,14
*1***2=****(*1)*2,10
*=*1**2=**(=*)(=*)**2=*1,11
*=*1***2****=*2**1,12
*=*1*=**(=*)*2=*1***1**=***12,16
*=*1**2=***(=*)(=*)*2=*1,11
****(*)***=*,9
*=*1:*:*:*2:*3:*(:*:*:*:2:*:1)****3,15
*=*1**2**=**2*2:*:*:*:*:*:2*1,15
*=*1**2**2*12**1****1*2,14
*=*1**2***1*1:*:*:*:*:*:12,13
***(*)**(*)*(*)*,10
*****(*)=****,10
**(**(**=*)*(*)=*)*(*)=*,13
**(*)***(*)**=*,10
**(**(=*)*(*)*)*#*,10
*=*(:*:*):*(:*:*):*:*,9
*=*1**(=*)*2*=**=**2=*1,12
*=*1*=**=*2*****12,11
*=*1**(=*)**2(*****2)*1,13
*=*1*2****(*2)*2**21,11
**(=*)***(=*)*****=*,13
*=*1****2***(=*)*21,11
*=*1***2(*1)**1:*:*:*:*:*:1*=*2,15
************(=*)**,15
*1**2***3:*:*:*:*:3**2*1,13
************=*=*,14
***1**2***1*1**21,11
**(*)*****=*,9
*********=*:*:*:*,13
*=*1***2*3**3***2=*1,12
***(=*)*(=*)*(=*)**,10
****(***)(***)***,13
*:*:*:*:*:*:*:*1:*****1,13
**(=*)**(=*)(=*)**#*,10
**(*)**(*)*(=*)*(*)*,11
*=*1**=**12***2,9
**(=*)***(=*)**1:*:*:*(*):*:*:1,15
*=*1****2**=***23****13,15
****(**)*(=*)**(=*)(=*)**,14
*=*1**2***=*****1=*2,13
*=*1***2*=**3**=**23*12**2,15
**(*)(*)*(**(=*)***#*)*=*,14
*=*1**2*=**3***(***2*1=*)*3,16
***(=*)(=*)**(=*)*(*)**(=*)*(*)*,16
*=*1***2:*:*:*:*:*:2*12*****2,16
*1**23**=**(**4:*:*:*:*:*:42)*3=*1,16
****=***(=*)**,10
***(**)**(*)*(*)(*)=*,12
*=*1******=**(=*)*****1,16
*1***2*****2**1,11
***(*)(*)**,7
*1**2:*:*3:*(:*:*:2*1)*=***3,13
**(=*)*(=*)**=*,8
****(*)*(*)*,8
**(*)*****(=*)*=*,11
**(*)**(*)(*)*(*)***=*,13
*=*1*****12*****2,12
*1***=*****2***(**1)*2,15
*=*1**2*3****2(**3)*1,12
**(**(=*)*(*)**(=*)*(*)*)*(*)=*,16
*1**2*3**3*1*1**21,10
*=*1*****12**=**2,11
*********=*,10
*=*1**2(****=*2)*=*1,11
*=*1:*:*:*2:*:1:*(=*):*:*1:*:*:*:*:*:1:2,15
*=*1***2***3*(****3=*)*2=*1,16
**(*)**(*)*,7
*1*2*=**1*1*3***3*21,11
*=*1**2**3=*(***=*3)*(=*)*2*1,15
****1:*:*:*2:*:*:*(=*):*:*:2:*:1,14
**(*)(*)**(=*)*(=*)*#*,11
*****(*)*(=*)***(*)=*,13
**(*(=*)=*)*(*)(*)*,9
**(*)*(=*)*********=*,15
*1***2****3(****3)*2**1,15
****(***(*)*)*=*,11
******12***=**1=**(=*)*2,15
*=*1*2=*(**=**2)*(=*)*2:*:*:*:*:*:21,16
*=*1:*:*:*:*2:*:1*1:*:*:*:*:*:1*=**2,16
*=*1****2:*:*:*3:*:*:*:*1:*:2:3,14
*1*=**2*1**=**1:*:*:*:*:12,13
***(*)(*)***(=*)**(*)(*)*,14
***(=*)*(*)=**,8
*******(=*)****(*)(=*)=*,15
*=*1**2:*:*:*:*3:*(=*):*:*:*(:*:2:3)*1,15
*=*1***(=*)(=*)*2:*:*:*:*:*:21,13
*1**2:*:*3:*:*:*:*:3:*:2*1,11
*******(=*)**#*,11
****(*)=**=**(*)*,11
***(*)=***(=*)*(*)*,11
*=*1****2*(***=*1)**(=*)*2=*,16
*=*1**2***3****(=*)*3*2*1,15
*=*1****2=*1**1****=*1*2=*,16
**(*)******(*)(=*)=*,12
***(*)***(=*)=*,9
****(=*)*(**(*)=*)**(=*)**,15
***(*)**(=*)**,9
*=*1*=**2**=**2=*1,10
*=*1***2(**1)***(=*)*2,12
*=*1***2(***(=*)*=*2)*=*1,13
***(*)=****(*)=**,11
*=*1***2**2***2***(=*)*21,15
*1**2*=**=**2*1,9
*=*1:*:*2:*:*3:*(:*:*:2:*:1)*****3,15
*=*1*2*****2*2(****2)*1=*,15
*1*2**3**1**1(**=***31)*2,14
**1****(:*):*1:*:*,10
*1**2**(*1)*1:*:*3:*(:*:*:1*2)***3,16
*******(=*)******=*,15
*=*1*2**=**3**=**31***1**12,16
***(*)(*)*(*)*=*,9
*=*1:*:*:*2:*(:*:1)*1(*****1)**2,15
*=*1**2*3*(=*)***34**4***2=*1,16
*1***2*(*1)**=*1****21,13
**(=*)*(**=*)**(*#*)*(*)=*,14
**(**=*)**(=*)**(*)*(*)=*,14
*=*1****2=*1**1:*:*:*:*:1*2,14
*1*=**2=***3=**=**1*32,12
*=****:*:*:*,8
*=*1***2(*****23**3)*2**21,15
**#**(*)(*)=*,7
*=*1**2*3*(***3=*)*(=*)***2=*1,16
*******(*)(=*)*****,14
********(=*)**,11
*=**=**=*(*#*)*#*,10
*1**2*=*3***=*3*2*1,11
*=*1***2:*:*:*3:*(:*:2*1)***3,14
*=*1*=**2**3**(=*)*(=*)*3**2=*1,16
*=*1:*:*:*2:*:*3:*(=*):*:*:*:*:3:*:*:2:*:1,16
*1**=**2:*:*:*3:*:*:*:*:3:*:2*1,14
*******(=*)(=*)**(=*)**,14
*1**2*3**4:*:*:*:*:*:4*2**13,14
*=*1:*:*2:*:*:*:*:2:*2:*:1***2,13
*1**2**3**1*2*1:*:*:*:*:*:13,14
**1:*:*:*:*:*:1*:*:*:*:*,12
*1****2:*(:*:*3:*:*:*:*:*:2:3)**1,15
*=*1:*:*:*:*2:*:*3:*(:*:*:1:2)***3,14
****=**=**,8
****=**(=*)=*,8
*****(=*)***=***,12
*=*1****2:*:*3:*(:*:*:21)****3,15
*=*(=*)****:*:*:*:*,11
*=*1*(=*2**=**=*2)**2:*:*:*:*:*:21,16
*=*1**=**2*=**21,9
*=*1****2*1**1=*2****1,14
******(**)*(*)*,11
*=*1***2*(*1)*1:*:*:*:*:*:1*2=*,15
*(*1:*:*:*:*:*:1)*1:*:*:*:*:*:1,13
*=*1**2***3*2*1*1:*:*:*:*:*:13,15
*=*1**2***3*(**=**3=*)*2*1,15
*=*1**2**3***(*3)**2*1=*,14
**=*(*)****(*)(*)=*,11
****(=*)***(*)*,10
*1**2:*:*3:*:*:*:*:3:*:*:2*=*1,13
**(=*)******(*)(=*)=*,12
*1**2***3****4***(*1)*2*34,16
**(***(*)=*)*(*)(*)*,11
*:*:*:*:*****1*****1,14
*=*1**2:*(:*(=*):*:*3:*:*:*:*:*:2:3)*=*1,16
***=****=**,9
***(=*)*****#*,10
******(*)***,10
*=*1**2*3**4**3**2(*4)*=*1,14
*1*2**3*=**2*2*1**32,11
***=**(*)=*,7
*=*1***(=*)*2*3***(*=*3)*21,14
**(=*)*(**=*)**(*)(*)*,12
*=*1**(=*)*2*1**1***(=*)*12,14
*1**2*3****3*3:*:*:*:*:*:3*2*1,16
*=*1(=*)*=***2(***2)*12**2,13
*=*1:*:*:*:*2:*:1*1***(*1)*2,13
**=*1*****1,8
*=*1***2*1**1:*:*:*:*:*:1**2=*,16
**(*)**(*)(=*)**(*)*,11
*1**2***3*4****4***3*2*1,16
***(=*)***(=*)**(*)*=*,13
*=***=**=*,7
*1**2**=*3*****3*2*1,13
**(*)*****(=*)**(*)(*)*,14
*=*1:*:*:*2:*:*:*:*:*:2:*(=*):*:1,13
*=*1***=***2**1*(=*)*2,13
*=*1**2***2*(=*)***=*1,13
*=*1****2=****=*12,11
*1**2**(*1)*1:*:*3:*:*:*:*:3:*:*:12,15
***(*)(*)***=*,9
